vessel_category,known_outcomes,documented_deaths,non_fatal_outcomes,fatality_proportion,fatality_ci_lower,fatality_ci_upper
Other or industrial,2,2,0,1,0.3423802275066532,1
Cargo or tanker,21,20,1,0.9523809523809523,0.7733063992587743,0.9915440121901735
Passenger or ferry,29,21,8,0.7241379310344828,0.5428286758313405,0.8530124489791204
Government or naval,22,15,7,0.6818181818181818,0.4731859774104276,0.8363940681864375
Recreational or small craft,23,7,16,0.30434782608695654,0.15604024453214027,0.508657562687592
Research or whale-watching,19,4,15,0.21052631578947367,0.0850767663291625,0.43334278443814156
Fishing or whaling,5,0,5,0,2.7755575615628914e-17,0.43448246478317465
